Country/Site,Total URLs,Assigned Day
global,199314,1
pl,42894,2
uk,41318,3
de,32921,4
ru,29902,5
es,29224,6
in,26334,7
id,25133,1
fr,24254,2
it,23739,3
at,22561,4
br,22501,5
pa,21264,6
kz,20216,7
hu,20075,1
cz,19988,2
ec,18494,3
au,17908,4
se,17526,5
mx,17174,6
cac,17153,7
pt,16393,1
dk,16362,2
gr,15154,3
th,14797,4
sg,14548,5
tr,14189,6
ua,13813,7
ae,13509,1
hr,13365,2
vn,13320,3
bg,13172,4
rs,13066,5
il,12649,6
ee,12546,7
co,12508,1
lv,12354,2
sk,12312,3
fi,12301,4
pe,12293,5
cl,12252,6
no,12134,7
tw,11368,1
lt,11359,2
sa,10929,3
nz,10925,4
ro,10855,5
my,10130,6
ph,9736,7
cn,9645,1
hk,9415,2
uz,9318,3
jp,8732,4
bd,7907,5
ir,7365,6
ma,6695,7
tn,6593,1
ar,6472,2
lk,5996,3
np,5910,4
dz,2706,5
