category,category_label,internal_intent,title_intent_label,enabled,notes
REF,Fridge Freezer,Easy Access,Easy Access,Y,Exact 30 characters with default template
REF,Fridge Freezer,Hygiene Care,Hygiene,Y,Short customer-facing label
REF,Fridge Freezer,Freshness,Freshness,Y,
REF,Fridge Freezer,Smart Convenience,Smart Care,Y,
REF,Fridge Freezer,Energy Saving,Energy Save,Y,
REF,Fridge Freezer,Capacity,More Space,Y,
REF,Fridge Freezer,Quiet & Reliable,Quiet Care,Y,
REF,Fridge Freezer,Design,Design,Y,
W/M,Washer,Easy Access,Easy Access,Y,
W/M,Washer,Hygiene Care,Hygiene,Y,
W/M,Washer,Smart Convenience,Smart Care,Y,
W/M,Washer,Speed & Time Saving,Quick Care,Y,
W/M,Washer,Energy Saving,Energy Save,Y,
W/M,Washer,Capacity,More Capacity,Y,
W/M,Washer,Quiet & Reliable,Quiet Care,Y,
W/M,Washer,Design,Design,Y,
LTV,TV,Picture Quality,Picture Quality,Y,
LTV,TV,Smart Convenience,Smart Viewing,Y,
LTV,TV,Gaming Performance,Gaming,Y,
LTV,TV,Connectivity,Connectivity,Y,
LTV,TV,Energy Saving,Energy Save,Y,
LTV,TV,Design,Design,Y,
MNT,Monitor,Picture Quality,Picture Quality,Y,
MNT,Monitor,Gaming Performance,Gaming,Y,
MNT,Monitor,Connectivity,Connectivity,Y,
MNT,Monitor,Smart Convenience,Productivity,Y,
MNT,Monitor,Design,Design,Y,
*,Product,Product Benefit,Key Benefit,Y,Fallback used when no category-specific row exists
