Country,#,REF,W/M,LTV,MNT
UK,1,GSXV91MCAE.AMCQLGU,F4Y913BCTA1.APBQPUK,OLED65G54LW.AEK,39GX950B-B.AEK
,2,GSXV80PZLE.APZQLGU,F4X9009TBC.AEBQPUK,OLED65G56LS.AEK,45GX950A-B.AEK
,3,GBG719MDNN.ANNQLGU,F4X7009TSB.AESQPUK,OLED55G56LS.AEK,40U990A-W.AEK
,4,GSXE90BSAD.ABSQLGU,F4X7013TSB.AESQPUK,OLED48G56LS.AEK,32U990A-S.AEK
,5,GMF960EV4E.AEVQLGU,WT1210NBTN1.ABGQKUK,OLED77C5ELB.AEK,39GX900A-B.AEK
,6,GSXE91EVAD.AEVQLGU,FWY916BBTN1.APBQPUK,OLED55C5ELB.AEK,32U889SA-W.AEK
,7,GSLC41PYPE.APYQLGU,FWY916WBTN1.ABWQPUK,OLED48C5ELB.AEK,49U950A-W.AEK
,8,GSLC40PYPE.APYQLGU,FDC309W.BBWQKUK,OLED42C5ELB.AEK,27UP850K-W.AEK
,9,GBBS524AEV.AEVQLGU,FDV1110B.BPBQKUK,OLED65G66LS.AEK,27UP650K-W.AEK
,10,GSLC40EPPE.AEPQLGU,F4X7011TSB.AESQPUK,OLED65G64LW.AEK,27GX704A-B.AEK

